name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url,2025_value
intel-extension-for-pytorch,Intel,https://intel.github.io/intel-extension-for-pytorch/,logos/149058a8b3c96359ac2f000c8958b4899897602728d52d917f9335d1e0273617.svg,https://x.com/intel,https://www.crunchbase.com/organization/intel,29967510008.0,Premier,member,,Apache License 2.0,"Santa Clara, California, United States",A Python extension to optimize performance on an Intel platform.,"Intel designs, manufactures and sells computer components and related products for business and consumer markets.",http://www.intel.com,Santa Clara,California,United States,https://x.com/intel,https://www.linkedin.com/company/intel-corporation,INTC,funding,10001.0,,Optimizations,Compilers & Runtimes,True,https://github.com/intel/intel-extension-for-pytorch,1960.0,A Python package for extending the official PyTorch that can easily obtain performance on Intel platform,2025-09-18,https://github.com/intel/intel-extension-for-pytorch/commit/da4d7a3942db27bf32c2cd023b3454419eb6ae9d,2025-08-12,https://github.com/intel/intel-extension-for-pytorch/releases/tag/v2.8.0%2Bcpu,2020-05-08,https://github.com/intel/intel-extension-for-pytorch/commit/ba1a6cfede2cbf25104a77710bb9dc1af75a5d66,85.0,https://github.com/intel/intel-extension-for-pytorch/graphs/contributors,,,,,,,,,,,,,120.96
International Business Machines Corporation (member),IBM,https://ibm.com/,logos/13712a2b4fb49436cc6982c5762c530124240df1301df412523318bdacc5b682.svg,https://twitter.com/IBM,https://www.crunchbase.com/organization/ibm,,Premier,member,,,"Armonk, New York, United States","Founded in 1911, International Business Machines (IBM) is a multinational computer, technology, and IT consulting corporation that manufactures and sells computer hardware and software, and offers infrastructure services, hosting services, and consulting services. They are headquartered in Armonk, New York.

--- Merged Data:

IBM is an IT technology and consulting firm providing computer hardware, software, and infrastructure and hosting services.","IBM is an IT technology and consulting firm providing computer hardware, software, infrastructure, and hosting services.",http://www.ibm.com,Armonk,New York,United States,https://x.com/IBM,https://www.linkedin.com/company/ibm,IBM,,10001.0,,PyTorch Members,Premier,,,,,,,,,,,,,,,,,,,,,,,,,
ivy,Ivy,https://ivy.dev/,logos/4ac7177a12ab6aa7b56c2420367cbe3b6e1be0de2f9753d69198f5ca9a7731bb.svg,https://www.twitter.com/getivy,https://www.crunchbase.com/organization/ivy,,,,,Other,"San Francisco, California, United States",Convert Machine Learning Code Between Frameworks,Ivy is the best way to share stuff that matters with your friends and the people around you,http://ivy.im,San Francisco,California,United States,https://www.twitter.com/getivy,,,,1.0,10.0,Optimizations,General,True,https://github.com/ivy-llc/ivy,14243.0,Convert Machine Learning Code Between Frameworks,2025-09-18,https://github.com/ivy-llc/ivy/commit/89aeb8f58f718c4d4cb7fe10169271d33331327e,2025-06-16,https://github.com/ivy-llc/ivy/releases/tag/1.0.0.5,2021-01-19,https://github.com/ivy-llc/ivy/commit/a73d9afe315aa1e10512cf97f2f34146b0766bbe,1484.0,https://github.com/ivy-llc/ivy/graphs/contributors,,,,,,,,,,,,,59.75
joeynmt,Cornell University,https://joeynmt.readthedocs.io/en/latest/#,logos/817179366550e656ee07a69f74369f9b49b23e815c2d4c3d5a092fbf4318dbc9.svg,https://www.twitter.com/Cornell,https://www.crunchbase.com/organization/cornell-university,13201459.0,,,,,"Ithaca, New York, United States",JoeyNMT is a minimalist neural machine translation toolkit for educational purposes.,"Cornell University is a federal land-grant research university that offers major, minor, and challenging dual-degree programs.",http://www.cornell.edu,Ithaca,New York,United States,https://www.twitter.com/Cornell,https://www.linkedin.com/edu/cornell-university-18946,,funding,10001.0,,Modeling,Language,,,,,,,,,,,,,,,,,,,,,,,,,
Kornia,Computer Vision Center,https://kornia.github.io/,logos/68d50512b8d058f5ae4c92b0fdb1a54132e0b208cb573c1b84bb19e7a2cabd4c.svg,,https://www.crunchbase.com/organization/computer-vision-center,,,,,Apache License 2.0,"Barcelona, Catalonia, Spain",Kornia is a geometric computer vision Library for spatial AI library that allows classical computer vision to be integrated into deep learning models.,The Computer Vision Center engages in research and development within the field of computer vision.,http://www.cvc.uab.es/,Barcelona,Catalonia,Spain,,https://www.linkedin.com/company/centre-de-visio-per-computador/,,,11.0,50.0,Modeling,Computer Vision,True,https://github.com/kornia/kornia,10749.0,🐍 Geometric Computer Vision Library for Spatial AI,2025-09-18,https://github.com/kornia/kornia/commit/45096032d9fbf3e1f55a6bf181a00d76d1f41061,2025-05-08,https://github.com/kornia/kornia/releases/tag/v0.8.1,2018-08-22,https://github.com/kornia/kornia/commit/6a56c25a8c8c8e739125cdf6dbbdc976bb53cf1f,297.0,https://github.com/kornia/kornia/graphs/contributors,,,,,,,,,,,,,90.85999999999999
Kubeflow Trainer,Kubeflow,https://www.kubeflow.org/docs/components/trainer/,logos/683a9c9d2a20a143451bee33b738a4393b44fb9d3734cb2e2b748213f2dbcb78.svg,https://twitter.com/kubeflow,https://www.crunchbase.com/organization/kubeflow,,,,,Apache License 2.0,"Mountain View, California, United States","Kubeflow Trainer is a Kubernetes-native project enabling scalable, distributed training of AI models and purpose-built for fine-tuning large language models (LLMs). It simplifies the scale-out of training workloads on multiple nodes, managing large datasets efficiently, and ensuring fault-tolerance.",Machine Learning Toolkit for Kubernetes,https://www.kubeflow.org/,Mountain View,California,United States,https://twitter.com/kubeflow,https://www.linkedin.com/company/kubeflow,,,51.0,100.0,Training,Distributed,True,https://github.com/kubeflow/trainer,1912.0,Distributed AI Model Training and Fine-Tuning on Kubernetes,2025-09-16,https://github.com/kubeflow/trainer/commit/aca63664ce60226595c83fc50bb8a39b47b8e344,2025-07-21,https://github.com/kubeflow/trainer/releases/tag/v2.0.0,2017-06-28,https://github.com/kubeflow/trainer/commit/5b1ff9c7058c2af718ed8d399aebcfd124217f8c,232.0,https://github.com/kubeflow/trainer/graphs/contributors,,,,,,,,,,,,,265.43
L5Kit,Lyft,https://woven-planet.github.io/l5kit/,logos/7dabfc94ffc28d1fd628346c3d70bb5a0fa4ae514b5323cad25267cd71aa3fab.svg,https://x.com/lyft,https://www.crunchbase.com/organization/lyft,5763606778.0,,archived,,,"San Francisco, California, United States","A python library with functionality for the development and training of learned prediction, planning and simulation models for autonomous driving applications.","Lyft is a leading ride-hailing service offering car rentals, bike, and scooter-sharing through its mobile app for convenient transportation.",https://www.lyft.com/,San Francisco,California,United States,https://x.com/lyft,https://www.linkedin.com/company/lyft,LYFT,funding,1001.0,5000.0,Modeling,Specialized,,https://github.com/woven-planet/l5kit,876.0,L5Kit - https://woven.toyota,2023-07-20,https://github.com/woven-planet/l5kit/commit/f554545ecb6249616c58dc469ae9b9cf69c24c13,,,2020-06-18,https://github.com/woven-planet/l5kit/commit/055d166b441edc8f38bfa7495bb8c74f0c0fe65b,32.0,https://github.com/woven-planet/l5kit/graphs/contributors,,,,,,,,,,,,,0.12
Lightly,Lightly,https://docs.lightly.ai/self-supervised-learning/,logos/5135c80fa8aeb01b5a93eb51f1c869d3e920e89759d25f423e0edb513df1fd02.svg,https://twitter.com/LightlyAI,https://www.crunchbase.com/organization/mirage,3125000.0,,,,MIT License,"Zürich, Zurich, Switzerland",LightlySSL is a computer vision framework for self-supervised learning.,Lightly is a data curation company for machine learning that helps companies build better models through better data.,https://www.lightlydata.com,Zürich,Zurich,Switzerland,https://twitter.com/LightlyAI,https://www.linkedin.com/company/mirage-tech,,funding,11.0,50.0,Modeling,Computer Vision,True,https://github.com/lightly-ai/lightly,3543.0,A python library for self-supervised learning on images.,2025-09-08,https://github.com/lightly-ai/lightly/commit/3d371ee3699e2b6d20adc4c79ac2a0fee52009ac,2025-07-22,https://github.com/lightly-ai/lightly/releases/tag/v1.15.22,2020-10-13,https://github.com/lightly-ai/lightly/commit/79ae3ea1fdf418ba4d2dce146c93b502bb7bebb7,72.0,https://github.com/lightly-ai/lightly/graphs/contributors,,,,,,,,,,,,,103.27999999999999
Lightning AI (member),Lightning AI,https://lightning.ai/,logos/a505d00fe31dd518df35a75abda723a81ca4d87b1c82482f47f65290c6a06e65.svg,https://twitter.com/PyTorchLightnin,https://www.crunchbase.com/organization/grid-ai,108500000.0,Premier,member,,,"New York, New York, United States","Lightning AI is a platform that allows you to train, deploy, and build AI models quickly using PyTorch Lightning.",Lightning AI is the first operating system for AI. Build AI models and Lightning Apps (end to end ML systems).,https://lightning.ai/,New York,New York,United States,https://twitter.com/PyTorchLightnin,https://www.linkedin.com/company/grid-ai/,,funding,11.0,50.0,PyTorch Members,Premier,,,,,,,,,,,,,,,,,,,,,,,,,
LitGPT,Lightning AI,https://github.com/Lightning-AI/litgpt,logos/b2ba043924146d3a43af1b5b5101e584498f8972c9da8c4a55823a471cd6f083.svg,https://twitter.com/PyTorchLightnin,https://www.crunchbase.com/organization/grid-ai,108500000.0,Premier,member,,Apache License 2.0,"New York, New York, United States","20+ high-performance LLMs with recipes to pretrain, finetune and deploy at scale.",Lightning AI is the first operating system for AI. Build AI models and Lightning Apps (end to end ML systems).,https://lightning.ai/,New York,New York,United States,https://twitter.com/PyTorchLightnin,https://www.linkedin.com/company/grid-ai/,,funding,11.0,50.0,Modeling,Language,True,https://github.com/Lightning-AI/litgpt,12765.0,"20+ high-performance LLMs with recipes to pretrain, finetune and deploy at scale.",2025-09-12,https://github.com/Lightning-AI/litgpt/commit/aac1a53a35a9028f4aec4c537207c2f2bc8910f3,2025-09-09,https://github.com/Lightning-AI/litgpt/releases/tag/v0.5.11,2023-03-22,https://github.com/Lightning-AI/litgpt/commit/3faee5c4db3a899e83554d21dfb6b83bd5635a8c,118.0,https://github.com/Lightning-AI/litgpt/graphs/contributors,,,,,,,,,,,,,175.36
LitServe,Lightning AI,https://lightning.ai/docs/litserve/home,logos/0929f9325e590da6d650bf0f8c3661c0fc55b6d138542040c4810a4e6839b113.svg,https://twitter.com/PyTorchLightnin,https://www.crunchbase.com/organization/grid-ai,108500000.0,Premier,member,,Apache License 2.0,"New York, New York, United States",LitServe is a flexible serving engine for AI models built on FastAPI.,Lightning AI is the first operating system for AI. Build AI models and Lightning Apps (end to end ML systems).,https://lightning.ai/,New York,New York,United States,https://twitter.com/PyTorchLightnin,https://www.linkedin.com/company/grid-ai/,,funding,11.0,50.0,Optimizations,General,True,https://github.com/Lightning-AI/LitServe,3564.0,"The easiest way to deploy agents, MCP servers, models, RAG, pipelines and more. No MLOps. No YAML.",2025-09-17,https://github.com/Lightning-AI/LitServe/commit/371bd6ed16e043a99080da33b224a9e91695c11c,2025-07-31,https://github.com/Lightning-AI/LitServe/releases/tag/v0.2.15,2023-12-12,https://github.com/Lightning-AI/LitServe/commit/9e1d3c8bc32edc0eee8aa8565037fb863aa1e268,42.0,https://github.com/Lightning-AI/LitServe/graphs/contributors,,,,,,,,,,,,,154.51999999999998
ludwig,Predibase,https://ludwig.ai/latest/,logos/6e299a3f1f6df294a97064d136dd13a8078ec5ccc3d9cfdf4f3f57faf17e4b3b.svg,,https://www.crunchbase.com/organization/predibase,28450000.0,,,,Apache License 2.0,"San Francisco, California, United States",Ludwig is a low-code framework for building custom AI models like LLMs and other deep neural networks.,"Predibase is an AI company that develops training, fine-tuning, and serving open-source machine learning.",https://predibase.com,San Francisco,California,United States,,https://www.linkedin.com/company/predibase,,funding,11.0,50.0,Training,General,True,https://github.com/ludwig-ai/ludwig,11586.0,"Low-code framework for building custom LLMs, neural networks, and other AI models",2024-10-17,https://github.com/ludwig-ai/ludwig/commit/00c51e0a286c3fa399a07a550e48d0f3deadc57d,2024-07-30,https://github.com/ludwig-ai/ludwig/releases/tag/v0.10.4,2019-01-09,https://github.com/ludwig-ai/ludwig/commit/984b34552ce1950fb52a436bab669a82c22e14f0,157.0,https://github.com/ludwig-ai/ludwig/graphs/contributors,,,,,,,,,,,,,12.659999999999998
"Meta Platforms, Inc. (member)",Meta,https://meta.com/,logos/b536f39ac80d6b93477ce158e9e0f963504a407da8c35caf5ded3ac072b49176.svg,https://twitter.com/Meta,https://www.crunchbase.com/organization/facebook,54608817488.0,Premier,member,,,"Menlo Park, California, United States","Founded in 2004 and headquartered in Menlo Park, California, Facebook is an American online social media and social networking service company that provides various products to connect and share.","Meta is a social technology company that enables people to connect, find communities, and grow businesses.",https://www.meta.com,Menlo Park,California,United States,https://x.com/Meta,https://www.linkedin.com/company/meta,META,funding,10001.0,,PyTorch Members,Premier,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Corporation (member),Microsoft,https://microsoft.com/,logos/7ed4cdbbc1403f998536115fd6cc9122e42347eb0fe6b7c40e7dc186f9aa47a9.svg,https://twitter.com/Microsoft,https://www.crunchbase.com/organization/microsoft,1000000.0,Premier,member,,,"Redmond, Washington, United States","The Microsoft Corporation is a publicly owned American software corporation headquartered in Redmond, Washington. Founded in 1975, the company develops, manufactures, licenses and supports a variety of computing products used by consumers and businesses. Some of their popular products include Windows, Xbox, Microsoft HoloLens, Microsoft Lumia, Outlook, Skype, OneDrive and Microsoft Band.","Microsoft is a software corporation that develops, manufactures, licenses, supports, and sells a range of software products and services.",https://www.microsoft.com,Redmond,Washington,United States,https://x.com/Microsoft,https://www.linkedin.com/company/microsoft,MSFT,funding,10001.0,,PyTorch Members,Premier,,,,,,,,,,,,,,,,,,,,,,,,,
MMEditing,MM Lab,https://mmagic.readthedocs.io/en/latest/,logos/2dd6eb493139d0728db74c27c9fd20e49fc83dd40a459aa1dfee080548d9651b.svg,,https://www.crunchbase.com/organization/mm-lab-fd2d,,,archived,,Apache License 2.0,"Tokushima, Tokushima, Japan","Image and Video Restoration, Editing and Generation Toolbox",MM Lab is a company that focuses on UAV (drone) related business and Web system development.,https://m2-lab.net/,Tokushima,Tokushima,Japan,,,,,1.0,10.0,Modeling,Computer Vision,True,https://github.com/open-mmlab/mmagic,7267.0,"OpenMMLab Multimodal Advanced, Generative, and Intelligent Creation Toolbox. Unlock the magic 🪄: Generative-AI (AIGC), easy-to-use APIs, awsome model zoo, diffusion models, for text-to-image generation, image/video restoration/enhancement, etc.",2024-01-31,https://github.com/open-mmlab/mmagic/commit/0a560bba9b79ebe78574e1d4cbbdd0e798e63568,2023-12-18,https://github.com/open-mmlab/mmagic/releases/tag/v1.2.0,2020-03-28,https://github.com/open-mmlab/mmagic/commit/b4f4ff7a4be70fcc4737a269c1848dff47d97559,129.0,https://github.com/open-mmlab/mmediting/graphs/contributors,,,,,,,,,,,,,3.02
MMF,Meta,https://mmf.sh/,logos/0c6791d31524bbcc5d00788ef39db3ff6576fdd3d3b1f8cea530d5c551e9098f.svg,https://x.com/Meta,https://www.crunchbase.com/organization/facebook,54608817488.0,Premier,member,,Other,"Menlo Park, California, United States",A modular framework for vision & language multimodal research.,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.",https://www.meta.com,Menlo Park,California,United States,https://x.com/Meta,https://www.linkedin.com/company/meta,META,funding,10001.0,,Modeling,Multimodal,True,https://github.com/facebookresearch/mmf,5590.0,A modular framework for vision & language multimodal research from Facebook AI Research (FAIR),2025-04-24,https://github.com/facebookresearch/mmf/commit/4197e59e85e1ea5e01b6d307762f7e993421e876,2019-08-26,https://github.com/facebookresearch/mmf/releases/tag/v0.3.1,2018-07-27,https://github.com/facebookresearch/mmf/commit/74a04f01f662b4611d9aed44a77041a982b8766c,123.0,https://github.com/facebookresearch/mmf/graphs/contributors,,,,,,,,,,,,,0.84
MONAI,NVIDIA,https://monai.io/,logos/05c4cdff595fa70e0ca8175384c2fbe4efc7c321437d8fd14bd6f13a9671fb74.svg,https://www.twitter.com/nvidia,https://www.crunchbase.com/organization/nvidia,4095000000.0,Premier,member,,,"Santa Clara, California, United States",AI Toolkit for Healthcare Imaging,"NVIDIA is a computing platform company operating at the intersection of graphics, HPC, and AI.",https://www.nvidia.com,Santa Clara,California,United States,https://www.twitter.com/nvidia,https://www.linkedin.com/company/nvidia,NVDA,funding,10001.0,,Modeling,Medical & Biology,,,,,,,,,,,,,,,,,,,,,,,,,
Monash University (member),Monash University,https://monash.edu/,logos/5c11cc622dd2954d137e5a1d09b245922ff0ab7f746f235e76ec9a7f90e79925.svg,https://twitter.com/MonashUni,https://www.crunchbase.com/organization/monash-university,2987388.0,Associate,member,,,"Clayton, Victoria, Australia","Monash University is a public research university based in Melbourne, Australia.","Monash University offers undergraduate, graduate, and research courses in the fields of business, social sciences, science, and law.",http://www.monash.edu.au/,Clayton,Victoria,Australia,http://twitter.com/MonashUni,http://www.linkedin.com/company/monash-university,,funding,10001.0,,PyTorch Members,Associate,,,,,,,,,,,,,,,,,,,,,,,,,
NeMo,NVIDIA,https://docs.nvidia.com/nemo-framework/user-guide/latest/overview.html,logos/28338dbf8ea96d2f14e1e737ecab8f55ada4616e445a10a89f0cb2c019ee8f14.svg,https://www.twitter.com/nvidia,https://www.crunchbase.com/organization/nvidia,4095000000.0,Premier,member,,Apache License 2.0,"Santa Clara, California, United States","A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)","NVIDIA is a computing platform company operating at the intersection of graphics, HPC, and AI.",https://www.nvidia.com,Santa Clara,California,United States,https://www.twitter.com/nvidia,https://www.linkedin.com/company/nvidia,NVDA,funding,10001.0,,Modeling,Multimodal,True,https://github.com/NVIDIA-NeMo/NeMo,15731.0,"A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)",2025-09-19,https://github.com/NVIDIA-NeMo/NeMo/commit/20ed590faa914c2641d9e387466ea9a57bb7157b,2025-07-25,https://github.com/NVIDIA-NeMo/NeMo/releases/tag/v2.4.0,2019-08-06,https://github.com/NVIDIA-NeMo/NeMo/commit/3ab741fed19409c56612604eec43aea0caf09836,455.0,https://github.com/NVIDIA/NeMo/graphs/contributors,,,,,,,,,,,,,2187.9
neural-compressor,Intel,https://intel.github.io/neural-compressor/latest/docs/source/Welcome.html,logos/ba40986b1563b5634522df1bb286e54e543fea3a4ce7e5d0f72c2de633c074f5.svg,https://x.com/intel,https://www.crunchbase.com/organization/intel,29967510008.0,Premier,member,,Apache License 2.0,"Santa Clara, California, United States",An open-source Python library supporting popular model compression techniques on all deep learning frameworks.,"Intel designs, manufactures and sells computer components and related products for business and consumer markets.",http://www.intel.com,Santa Clara,California,United States,https://x.com/intel,https://www.linkedin.com/company/intel-corporation,INTC,funding,10001.0,,Optimizations,General,True,https://github.com/intel/neural-compressor,2494.0,"SOTA low-bit LLM quantization (INT8/FP8/INT4/FP4/NF4) & sparsity; leading model compression techniques on TensorFlow, PyTorch, and ONNX Runtime",2025-09-18,https://github.com/intel/neural-compressor/commit/75e1be01271813c6b67e7b2f7e5f320a034ceebb,2025-09-10,https://github.com/intel/neural-compressor/releases/tag/v3.5,2020-06-16,https://github.com/intel/neural-compressor/commit/e3b1ed8ea49fd6530273d7446b88520212f3b795,139.0,https://github.com/intel/neural-compressor/graphs/contributors,,,,,,,,,,,,,164.00000000000003
NVIDIA Corporation (member),NVIDIA,https://nvidia.com/,logos/36ae3f77f0bcb07902095cfec2aa06dec15929a1b3ccb79557806524dbe680a3.svg,https://twitter.com/nvidia,https://www.crunchbase.com/organization/nvidia,4095000000.0,Premier,member,,,"Santa Clara, California, United States","Founded in 1993, NVIDIA is an AI computing company. The company is headquartered in Santa Clara, California.","NVIDIA is a computing platform company operating at the intersection of graphics, HPC, and AI.",https://www.nvidia.com,Santa Clara,California,United States,https://www.twitter.com/nvidia,https://www.linkedin.com/company/nvidia,NVDA,funding,10001.0,,PyTorch Members,Premier,,,,,,,,,,,,,,,,,,,,,,,,,
OctoML Profiler,OctoAI,https://github.com/octoml/octoml-profile,logos/6a0430bf99ada8d6b9a2f7c296d8719bd6d5081f40036783c1ee51c58ae73217.svg,https://twitter.com/octoaicloud,https://www.crunchbase.com/organization/octoml,131900000.0,,,,Apache License 2.0,"Seattle, Washington, United States",octoml-profile is a python library and cloud service that enables ML engineers to easily assess the performance and cost of PyTorch models on cloud hardware with state-of-the-art ML acceleration technology.,"OctoAI is an AI infrastructure platform designed to help developers run, tune, and scale generative AI models efficiently.",https://octo.ai,Seattle,Washington,United States,https://twitter.com/octoaicloud,https://www.linkedin.com/company/octoaicloud,,funding,51.0,100.0,Optimizations,Compilers & Runtimes,True,https://github.com/octoml/octoml-profile,114.0,Home for OctoML PyTorch Profiler,2023-04-24,https://github.com/octoml/octoml-profile/commit/db7a01538d3c10e408afdd1f97379fbc12bb9e78,,,2023-02-14,https://github.com/octoml/octoml-profile/commit/00a938666eb8652607020d949c18eaa1b676357d,8.0,https://github.com/octoml/octoml-profile/graphs/contributors,,,,,,,,,,,,,
One Fact Foundation (member),,https://onefact.org/,logos/aead37ee90286debc0ce4f11d9328eebaad0f1d3b9fb8d59a90289de469e0315.svg,https://twitter.com/onefact_org,,,,,,,,We build transparent data and technology to better the choices people and policymakers can make to improve health.,,,,,,,,,,,,PyTorch Members,Associate,,,,,,,,,,,,,,,,,,,,,,,,,
ONNX runtime,Microsoft,https://onnxruntime.ai/,logos/a2ab7ad7ece050a1a7e0e667813b6992c1abc606d2112dd11c8c84836b5ba522.svg,https://x.com/Microsoft,https://www.crunchbase.com/organization/microsoft,1000000.0,Premier,member,,MIT License,"Redmond, Washington, United States",High performance ML inferencing and training accelerator,"Microsoft is a software corporation that develops, manufactures, licenses, supports, and sells a range of software products and services.",https://www.microsoft.com,Redmond,Washington,United States,https://x.com/Microsoft,https://www.linkedin.com/company/microsoft,MSFT,funding,10001.0,,Optimizations,Compilers & Runtimes,True,https://github.com/microsoft/onnxruntime,17921.0,"ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator",2025-09-19,https://github.com/microsoft/onnxruntime/commit/2cc77384c3ae536fe286cb537c1442d85dd1c5cd,2025-08-13,https://github.com/microsoft/onnxruntime/releases/tag/v1.22.2,2018-11-20,https://github.com/microsoft/onnxruntime/commit/89618e8f1e8fee0354de57494bb71da96a445b71,816.0,https://github.com/microsoft/onnxruntime/graphs/contributors,,,,,,,,,,,,,2438.28
Opacus,Meta,https://opacus.ai/,logos/93e7f58529785d31148daadf57a83ea2c2f8a5881b6825df426596b79b6954ad.svg,https://x.com/Meta,https://www.crunchbase.com/organization/facebook,54608817488.0,Premier,member,,Apache License 2.0,"Menlo Park, California, United States",Train PyTorch models with Differential Privacy,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.",https://www.meta.com,Menlo Park,California,United States,https://x.com/Meta,https://www.linkedin.com/company/meta,META,funding,10001.0,,Training,Privacy,True,https://github.com/meta-pytorch/opacus,1850.0,Training PyTorch models with differential privacy,2025-09-16,https://github.com/meta-pytorch/opacus/commit/4d0ebc84613d214fbfd37fbfd1390e3747a625ce,2025-05-27,https://github.com/meta-pytorch/opacus/releases/tag/v1.5.4,2019-12-10,https://github.com/meta-pytorch/opacus/commit/588ddf961f13981a50f8b782a11283a20d6ebc74,87.0,https://github.com/pytorch/opacus/graphs/contributors,,,,,,,,,,,,,83.29
OpenCompass,OpenAILab,https://opencompass.org.cn/home,logos/7a70f2cbec75cbed6adfa360674d53e5fd6536ee1b342b52588a3dbd35ef8860.svg,,https://www.crunchbase.com/organization/openailab,,,,,Apache License 2.0,"Shanghai, Shanghai, China","OpenCompass is an LLM evaluation platform, supporting a wide range of models (Llama3, Mistral, InternLM2,GPT-4,LLaMa2, Qwen,GLM, Claude, etc) over 100+ datasets.",OpenAILab provides artificial intelligence solutions.,http://www.openailab.com/,Shanghai,Shanghai,China,,https://www.linkedin.com/company/开放智能机器-上海-有限公司,,,1.0,10.0,Modeling,Language,True,https://github.com/open-compass/opencompass,6069.0,"OpenCompass is an LLM evaluation platform, supporting a wide range of models (Llama3, Mistral, InternLM2,GPT-4,LLaMa2, Qwen,GLM, Claude, etc) over 100+ datasets.",2025-09-15,https://github.com/open-compass/opencompass/commit/190cc0c28c1e78343678b45be5d3ee5acd292792,2025-09-01,https://github.com/open-compass/opencompass/releases/tag/0.5.0,2023-07-04,https://github.com/open-compass/opencompass/commit/7d346000bb8f1f7611f88dc8e003bdf8c9ae3ece,159.0,https://github.com/open-compass/opencompass/graphs/contributors,,,,,,,,,,,,,389.93999999999994
OpenMMLab,MM Lab,https://openmmlab.com/,logos/4efdc7f99d6658760637db639f854554798b6fac64d661903c68e7728e5014ba.svg,,https://www.crunchbase.com/organization/mm-lab-fd2d,,,,,,"Tokushima, Tokushima, Japan",Open-source computer vision algorithms and models.,MM Lab is a company that focuses on UAV (drone) related business and Web system development.,https://m2-lab.net/,Tokushima,Tokushima,Japan,,,,,1.0,10.0,Modeling,Computer Vision,,,,,,,,,,,,,,,,,,,,,,,,,
Optuna,Preferred Networks,https://optuna.org/,logos/221ccf5311fc9739ea42133e7727c4e1e3bbdb761fee27e5f71434e93ea35740.svg,https://x.com/preferrednet,https://www.crunchbase.com/organization/preferred-networks,349989235.0,,,,MIT License,"Otemachi, Tokyo, Japan","Optuna is an automatic hyperparameter optimization software framework, particularly designed for machine learning.","Preferred Networks develops real-world applications of deep learning, robotics and other latest technologies.",https://www.preferred.jp,Otemachi,Tokyo,Japan,https://x.com/preferrednet,https://www.linkedin.com/company/preferred-networks,,funding,251.0,500.0,Training,Probabilistic & Optimization,True,https://github.com/optuna/optuna,12711.0,A hyperparameter optimization framework,2025-09-17,https://github.com/optuna/optuna/commit/e4961d8205dfac4fe0aa1ccae1ccbe6c0221e174,2025-08-18,https://github.com/optuna/optuna/releases/tag/v4.5.0,2018-01-11,https://github.com/optuna/optuna/commit/69c0fa25d2d21c1ba6189456e3d3a0521c41132d,316.0,https://github.com/optuna/optuna/graphs/contributors,,,,,,,,,,,,,239.79
padl,LF1,https://lf1-io.github.io/padl/latest/,logos/c0324d6b677e731d34b894562042072e4a31734082e9134609e1b68c251bc3d9.svg,https://twitter.com/lf1_io,https://www.crunchbase.com/organization/lf1,,,archived,,Apache License 2.0,"Berlin, Berlin, Germany",A pipeline builder for PyTorch.,LF1 is an AI innovation lab that develops proprietary and open-source AI software and technology.,https://lf1.io/,Berlin,Berlin,Germany,https://twitter.com/lf1_io,https://www.linkedin.com/company/lf1-io,,,1.0,10.0,Optimizations,MLOps,True,https://github.com/lf1-io/padl,108.0,Functional deep learning,2022-05-17,https://github.com/lf1-io/padl/commit/b261d51a0be9ff9989b76009913e226894b71a39,,,2021-07-30,https://github.com/lf1-io/padl/commit/c6b94bb2453f97583182e6733dd6cd1714d7564c,10.0,https://github.com/lf1-io/padl/graphs/contributors,,,,,,,,,,,,,
